BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,﻿﻿*** START OF THE PROJECT GUTENBERG EBOOK 2542 ***,0.0,0.3,1.0,0.7,R,9/10
2,STAGE,A Doll’s House,0.0,0.3,1.0,0.2,R,9/10
3,STAGE,by Henrik Ibsen,0.0,0.3,1.0,0.2,R,9/10
4,STAGE,Contents,0.0,0.3,1.0,0.2,R,9/10
5,ACT III,DRAMATIS PERSONAE,0.0,0.3,1.0,0.7,R,9/10
6,ACT III,Torvald Helmer.,0.0,0.3,1.0,0.2,R,9/10
7,ACT III,"Nora, his wife.",0.0,0.3,1.0,0.2,R,9/10
8,ACT III,Doctor Rank.,0.0,0.3,1.0,0.2,R,9/10
9,ACT III,Mrs Linde.,0.0,0.3,1.0,0.2,R,9/10
10,ACT III,Nils Krogstad.,0.0,0.3,1.0,0.2,R,9/10
11,ACT III,Helmer’s three young children.,0.0,0.3,1.0,0.2,R,9/10
12,ACT III,"Anne, their nurse.",0.0,0.3,1.0,0.2,R,9/10
13,ACT III,A Housemaid.,0.0,0.3,0.99,0.2,R,9/10
14,ACT III,A Porter.,0.0,0.3,0.99,0.2,R,9/10
15,ACT III,_[The action takes place in Helmer’s house.]_,0.0,0.3,0.99,0.2,R,9/10
16,ACT III,A DOLL’S HOUSE,0.01,0.3,0.99,0.2,R,9/10
17,ACT III,ACT I,0.01,0.3,0.99,0.2,R,9/10
18,ACT III,"_[SCENE.—A room furnished comfortably and tastefully, but not",0.01,0.3,0.99,0.2,R,9/10
19,ACT III,"extravagantly. At the back, a door to the right leads to the",0.01,0.3,0.99,0.2,R,9/10
20,ACT III,"entrance-hall, another to the left leads to Helmer’s study. Between the",0.01,0.3,0.99,0.2,R,9/10
21,ACT III,"doors stands a piano. In the middle of the left-hand wall is a door,",0.01,0.3,0.99,0.2,R,9/10
22,ACT III,"and beyond it a window. Near the window are a round table, arm-chairs",0.01,0.3,0.99,0.2,R,9/10
23,ACT III,"and a small sofa. In the right-hand wall, at the farther end, another",0.01,0.3,0.99,0.2,R,9/10
24,ACT III,"door; and on the same side, nearer the footlights, a stove, two easy",0.01,0.3,0.99,0.2,R,9/10
25,ACT III,"chairs and a rocking-chair; between the stove and the door, a small",0.01,0.3,0.99,0.2,R,9/10
26,ACT III,table. Engravings on the walls; a cabinet with china and other small,0.01,0.3,0.99,0.2,R,9/10
27,ACT III,objects; a small book-case with well-bound books. The floors are,0.01,0.3,0.99,0.2,R,9/10
28,ACT III,"carpeted, and a fire burns in the stove. It is winter._",0.01,0.3,0.99,0.2,R,9/10
29,ACT III,_A bell rings in the hall; shortly afterwards the door is heard to,0.01,0.3,0.99,0.2,R,9/10
30,ACT III,"open. Enter NORA, humming a tune and in high spirits. She is in outdoor",0.01,0.3,0.99,0.2,R,9/10
31,ACT III,dress and carries a number of parcels; these she lays on the table to,0.01,0.3,0.99,0.2,R,9/10
32,ACT III,"the right. She leaves the outer door open after her, and through it is",0.01,0.3,0.99,0.2,R,9/10
33,ACT III,"seen a PORTER who is carrying a Christmas Tree and a basket, which he",0.01,0.3,0.99,0.2,R,9/10
34,ACT III,gives to the MAID who has opened the door.]_,0.01,0.3,0.99,0.2,R,9/10
35,NORA,"Hide the Christmas Tree carefully, Helen. Be sure the children do not",0.01,0.3,0.99,0.7,R,9/10
36,NORA,"see it until this evening, when it is dressed. _[To the PORTER, taking",0.01,0.3,0.99,0.2,R,9/10
37,NORA,out her purse.]_ How much?,0.01,0.5,0.99,0.2,R,9/10
38,PORTER,Sixpence.,0.01,0.3,0.99,0.7,R,9/10
39,NORA,"There is a shilling. No, keep the change. _[The PORTER thanks her, and",0.01,0.3,0.98,0.7,R,9/10
40,NORA,"goes out. NORA shuts the door. She is laughing to herself, as she takes",0.01,0.3,0.98,0.2,R,9/10
41,NORA,off her hat and coat. She takes a packet of macaroons from her pocket,0.01,0.3,0.98,0.2,R,9/10
42,NORA,and eats one or two; then goes cautiously to her husband’s door and,0.01,0.3,0.98,0.2,R,9/10
43,NORA,"listens.]_ Yes, he is in. _[Still humming, she goes to the table on the",0.01,0.3,0.98,0.2,R,9/10
44,NORA,right.]_,0.01,0.3,0.98,0.2,R,9/10
45,HELMER,_[calls out from his room]_. Is that my little lark twittering out,0.01,0.3,0.98,0.7,R,9/10
46,HELMER,there?,0.01,0.5,0.98,0.2,R,9/10
47,NORA,"_[busy opening some of the parcels]_. Yes, it is!",0.01,0.45,0.98,0.7,R,9/10
48,HELMER,Is it my little squirrel bustling about?,0.02,0.5,0.98,0.7,R,9/10
49,NORA,Yes!,0.02,0.45,0.98,0.7,R,9/10
50,HELMER,When did my squirrel come home?,0.02,0.5,0.98,0.7,R,9/10
51,NORA,Just now. _[Puts the bag of macaroons into her pocket and wipes her,0.02,0.3,0.98,0.7,R,9/10
52,NORA,"mouth.]_ Come in here, Torvald, and see what I have bought.",0.02,0.3,0.98,0.2,R,9/10
53,HELMER,"Don’t disturb me. _[A little later, he opens the door and looks into",0.02,0.3,0.98,0.7,R,9/10
54,HELMER,"the room, pen in hand.]_ Bought, did you say? All these things? Has my",0.02,0.7,0.98,0.2,R,9/10
55,HELMER,little spendthrift been wasting money again?,0.02,0.5,0.98,0.2,R,9/10
56,NORA,"Yes but, Torvald, this year we really can let ourselves go a little.",0.02,0.3,0.98,0.7,R,9/10
57,NORA,This is the first Christmas that we have not needed to economise.,0.02,0.3,0.98,0.2,R,9/10
58,HELMER,"Still, you know, we can’t spend money recklessly.",0.02,0.3,0.98,0.7,R,9/10
59,NORA,"Yes, Torvald, we may be a wee bit more reckless now, mayn’t we? Just a",0.02,0.5,0.98,0.7,R,9/10
60,NORA,tiny wee bit! You are going to have a big salary and earn lots and lots,0.02,0.45,0.98,0.2,R,9/10
61,NORA,of money.,0.02,0.3,0.98,0.2,R,9/10
62,HELMER,"Yes, after the New Year; but then it will be a whole quarter before the",0.02,0.3,0.98,0.7,R,9/10
63,HELMER,salary is due.,0.02,0.3,0.98,0.2,R,9/10
64,NORA,Pooh! we can borrow until then.,0.02,0.45,0.97,0.7,R,9/10
65,HELMER,Nora! _[Goes up to her and takes her playfully by the ear.]_ The same,0.02,0.45,0.97,0.7,R,9/10
66,HELMER,"little featherhead! Suppose, now, that I borrowed fifty pounds today,",0.02,0.45,0.97,0.2,R,9/10
67,HELMER,"and you spent it all in the Christmas week, and then on New Year’s Eve",0.02,0.3,0.97,0.2,R,9/10
68,HELMER,"a slate fell on my head and killed me, and—",0.12,0.3,0.97,0.2,R,8/10
69,NORA,_[putting her hands over his mouth]_. Oh! don’t say such horrid things.,0.02,0.45,0.97,0.7,R,9/10
70,HELMER,"Still, suppose that happened,—what then?",0.02,0.5,0.97,0.7,R,9/10
71,NORA,"If that were to happen, I don’t suppose I should care whether I owed",0.02,0.3,0.97,0.7,R,9/10
72,NORA,money or not.,0.02,0.3,0.97,0.2,R,9/10
73,HELMER,"Yes, but what about the people who had lent it?",0.02,0.5,0.97,0.7,R,9/10
74,NORA,They? Who would bother about them? I should not know who they were.,0.02,0.7,0.97,0.7,R,9/10
75,HELMER,"That is like a woman! But seriously, Nora, you know what I think about",0.02,0.45,0.97,0.7,R,9/10
76,HELMER,"that. No debt, no borrowing. There can be no freedom or beauty about a",0.02,0.3,0.97,0.2,R,9/10
77,HELMER,home life that depends on borrowing and debt. We two have kept bravely,0.02,0.3,0.97,0.2,R,9/10
78,HELMER,"on the straight road so far, and we will go on the same way for the",0.02,0.3,0.97,0.2,R,9/10
79,HELMER,short time longer that there need be any struggle.,0.02,0.3,0.97,0.2,R,9/10
80,NORA,"_[moving towards the stove]_. As you please, Torvald.",0.03,0.3,0.97,0.7,R,9/10
81,HELMER,"_[following her]_. Come, come, my little skylark must not droop her",0.03,0.3,0.97,0.7,R,9/10
82,HELMER,wings. What is this! Is my little squirrel out of temper? _[Taking out,0.03,0.65,0.97,0.2,R,9/10
83,HELMER,"his purse.]_ Nora, what do you think I have got here?",0.03,0.5,0.97,0.2,R,9/10
84,NORA,_[turning round quickly]_. Money!,0.03,0.45,0.97,0.7,R,9/10
85,HELMER,There you are. _[Gives her some money.]_ Do you think I don’t know what,0.03,0.3,0.97,0.7,R,9/10
86,HELMER,a lot is wanted for housekeeping at Christmas-time?,0.03,0.5,0.97,0.2,R,9/10
87,NORA,"_[counting]_. Ten shillings—a pound—two pounds! Thank you, thank you,",0.03,0.45,0.97,0.7,R,9/10
88,NORA,Torvald; that will keep me going for a long time.,0.03,0.3,0.97,0.2,R,9/10
89,HELMER,Indeed it must.,0.03,0.3,0.96,0.7,R,9/10
90,NORA,"Yes, yes, it will. But come here and let me show you what I have",0.03,0.3,0.96,0.7,R,9/10
91,NORA,"bought. And all so cheap! Look, here is a new suit for Ivar, and a",0.03,0.45,0.96,0.2,R,9/10
92,NORA,sword; and a horse and a trumpet for Bob; and a doll and dolly’s,0.03,0.3,0.96,0.2,R,9/10
93,NORA,"bedstead for Emmy,—they are very plain, but anyway she will soon break",0.03,0.3,0.96,0.2,R,9/10
94,NORA,them in pieces. And here are dress-lengths and handkerchiefs for the,0.03,0.3,0.96,0.2,R,9/10
95,NORA,maids; old Anne ought really to have something better.,0.03,0.3,0.96,0.2,R,9/10
96,HELMER,And what is in this parcel?,0.03,0.5,0.96,0.7,R,9/10
97,NORA,"_[crying out]_. No, no! you mustn’t see that until this evening.",0.03,0.45,0.96,0.7,R,9/10
98,HELMER,"Very well. But now tell me, you extravagant little person, what would",0.03,0.3,0.96,0.7,R,9/10
99,HELMER,you like for yourself?,0.03,0.5,0.96,0.2,R,9/10
100,NORA,"For myself? Oh, I am sure I don’t want anything.",0.03,0.5,0.96,0.7,R,9/10
101,HELMER,"Yes, but you must. Tell me something reasonable that you would",0.03,0.3,0.96,0.7,R,9/10
102,HELMER,particularly like to have.,0.03,0.3,0.96,0.2,R,9/10
103,NORA,"No, I really can’t think of anything—unless, Torvald—",0.03,0.3,0.96,0.7,R,9/10
104,HELMER,Well?,0.03,0.5,0.96,0.7,R,9/10
105,NORA,"_[playing with his coat buttons, and without raising her eyes to his]_.",0.03,0.3,0.96,0.7,R,9/10
106,NORA,"If you really want to give me something, you might—you might—",0.03,0.3,0.96,0.2,R,9/10
107,HELMER,"Well, out with it!",0.03,0.45,0.96,0.7,R,9/10
108,NORA,"_[speaking quickly]_. You might give me money, Torvald. Only just as",0.03,0.3,0.96,0.7,R,9/10
109,NORA,much as you can afford; and then one of these days I will buy something,0.03,0.3,0.96,0.2,R,9/10
110,NORA,with it.,0.03,0.3,0.96,0.2,R,9/10
111,HELMER,"But, Nora—",0.04,0.3,0.96,0.7,R,9/10
112,NORA,"Oh, do! dear Torvald; please, please do! Then I will wrap it up in",0.04,0.6,0.96,0.7,R,9/10
113,NORA,beautiful gilt paper and hang it on the Christmas Tree. Wouldn’t that,0.04,0.3,0.96,0.2,R,9/10
114,NORA,be fun?,0.04,0.5,0.96,0.2,R,9/10
115,HELMER,What are little people called that are always wasting money?,0.04,0.5,0.95,0.7,R,9/10
116,NORA,"Spendthrifts—I know. Let us do as you suggest, Torvald, and then I",0.04,0.3,0.95,0.7,R,9/10
117,NORA,shall have time to think what I am most in want of. That is a very,0.04,0.3,0.95,0.2,R,9/10
118,NORA,"sensible plan, isn’t it?",0.04,0.5,0.95,0.2,R,9/10
119,HELMER,"_[smiling]_. Indeed it is—that is to say, if you were really to save",0.04,0.3,0.95,0.7,R,9/10
120,HELMER,"out of the money I give you, and then really buy something for",0.04,0.3,0.95,0.2,R,9/10
121,HELMER,yourself. But if you spend it all on the housekeeping and any number of,0.04,0.3,0.95,0.2,R,9/10
122,HELMER,"unnecessary things, then I merely have to pay up again.",0.04,0.3,0.95,0.2,R,9/10
123,NORA,"Oh but, Torvald—",0.04,0.3,0.95,0.7,R,9/10
124,HELMER,"You can’t deny it, my dear little Nora. _[Puts his arm round her",0.04,0.3,0.95,0.7,R,9/10
125,HELMER,"waist.]_ It’s a sweet little spendthrift, but she uses up a deal of",0.04,0.3,0.95,0.2,R,9/10
126,HELMER,money. One would hardly believe how expensive such little persons are!,0.04,0.45,0.95,0.2,R,9/10
127,NORA,It’s a shame to say that. I do really save all I can.,0.04,0.3,0.95,0.7,R,9/10
128,HELMER,"_[laughing]_. That’s very true,—all you can. But you can’t save",0.04,0.3,0.95,0.7,R,9/10
129,HELMER,anything!,0.04,0.45,0.95,0.2,R,9/10
130,NORA,_[smiling quietly and happily]_. You haven’t any idea how many expenses,0.04,0.3,0.95,0.7,R,9/10
131,NORA,"we skylarks and squirrels have, Torvald.",0.04,0.3,0.95,0.2,R,9/10
132,HELMER,You are an odd little soul. Very like your father. You always find some,0.04,0.3,0.95,0.7,R,9/10
133,HELMER,"new way of wheedling money out of me, and, as soon as you have got it,",0.04,0.3,0.95,0.2,R,9/10
134,HELMER,it seems to melt in your hands. You never know where it has gone.,0.04,0.3,0.95,0.2,R,9/10
135,HELMER,"Still, one must take you as you are. It is in the blood; for indeed it",0.14,0.3,0.95,0.2,R,8/10
136,HELMER,"is true that you can inherit these things, Nora.",0.04,0.3,0.95,0.2,R,9/10
137,NORA,"Ah, I wish I had inherited many of papa’s qualities.",0.04,0.3,0.95,0.7,R,9/10
138,HELMER,"And I would not wish you to be anything but just what you are, my sweet",0.04,0.3,0.95,0.7,R,9/10
139,HELMER,"little skylark. But, do you know, it strikes me that you are looking",0.04,0.3,0.95,0.2,R,9/10
140,HELMER,rather—what shall I say—rather uneasy today?,0.04,0.5,0.94,0.2,R,9/10
141,NORA,Do I?,0.04,0.5,0.94,0.7,R,9/10
142,HELMER,"You do, really. Look straight at me.",0.04,0.3,0.94,0.7,R,9/10
143,NORA,_[looks at him]_. Well?,0.05,0.5,0.94,0.7,R,9/10
144,HELMER,_[wagging his finger at her]_. Hasn’t Miss Sweet Tooth been breaking,0.05,0.3,0.94,0.7,R,9/10
145,HELMER,rules in town today?,0.05,0.5,0.94,0.2,R,9/10
146,NORA,No; what makes you think that?,0.05,0.5,0.94,0.7,R,9/10
