BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,"﻿Project Gutenberg’s Plays by Chekhov, Second Series, by Anton Chekhov",0.0,0.3,1.0,0.7,R,9/10
2,STAGE,This eBook is for the use of anyone anywhere at no cost and with,0.0,0.3,1.0,0.2,R,9/10
3,STAGE,"almost no restrictions whatsoever.  You may copy it, give it away or",0.0,0.3,1.0,0.2,R,9/10
4,STAGE,re-use it under the terms of the Project Gutenberg License included,0.0,0.3,1.0,0.2,R,9/10
5,STAGE,with this eBook or online at www.gutenberg.org,0.0,0.3,1.0,0.2,R,9/10
6,STAGE,"Title: Plays by Chekhov, Second Series",0.0,0.3,1.0,0.2,R,9/10
7,STAGE,"On the High Road, The Proposal, The Wedding, The Bear, A",0.0,0.3,1.0,0.2,R,9/10
8,STAGE,"Tragedian In Spite of Himself, The Anniversary, The Three",0.0,0.3,1.0,0.2,R,9/10
9,STAGE,"Sisters, The Cherry Orchard",0.0,0.3,1.0,0.2,R,9/10
10,STAGE,Author: Anton Chekhov,0.0,0.3,1.0,0.2,R,9/10
11,STAGE,"Release Date: April, 2005 [EBook #7986]",0.0,0.3,1.0,0.2,R,9/10
12,STAGE,"Posting Date: August 8, 2009",0.0,0.3,1.0,0.2,R,9/10
13,STAGE,"Last Updated: September 10, 2016",0.0,0.3,1.0,0.2,R,9/10
14,STAGE,Language: English,0.0,0.3,1.0,0.2,R,9/10
15,STAGE,Character set encoding: UTF-8,0.0,0.3,1.0,0.2,R,9/10
16,STAGE,"*** START OF THIS PROJECT GUTENBERG EBOOK PLAYS BY CHEKHOV, SECOND SERIES ***",0.0,0.3,1.0,0.2,R,9/10
17,STAGE,Produced by James Rusk and Nicole Apostola,0.0,0.3,1.0,0.2,R,9/10
18,STAGE,"PLAYS BY ANTON CHEKHOV, SECOND SERIES",0.0,0.3,1.0,0.2,R,9/10
19,STAGE,By Anton Chekhov,0.0,0.3,1.0,0.2,R,9/10
20,STAGE,"Translated, with an Introduction, by Julius West",0.0,0.3,1.0,0.2,R,9/10
21,STAGE,by Project Gutenberg in etext numbers: 1753 through 1756],0.0,0.3,1.0,0.2,R,9/10
22,STAGE,CONTENTS,0.0,0.3,1.0,0.2,R,9/10
23,STAGE,INTRODUCTION,0.0,0.3,1.0,0.2,R,9/10
24,STAGE,ON THE HIGH ROAD,0.0,0.3,1.0,0.2,R,9/10
