BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,*** START OF THE PROJECT GUTENBERG EBOOK 1524 ***,0.0,0.3,1.0,0.7,R,9/10
2,STAGE,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",0.0,0.3,1.0,0.2,R,9/10
3,STAGE,by William Shakespeare,0.0,0.3,1.0,0.2,R,9/10
4,STAGE,Contents,0.0,0.3,1.0,0.2,R,9/10
5,STAGE,ACT I,0.0,0.3,1.0,0.2,R,9/10
6,STAGE,Scene I. Elsinore. A platform before the Castle,0.0,0.3,1.0,0.2,R,9/10
7,STAGE,Scene II. Elsinore. A room of state in the Castle,0.0,0.3,1.0,0.2,R,9/10
8,STAGE,Scene III. A room in Polonius’s house,0.0,0.3,1.0,0.2,R,9/10
9,STAGE,Scene IV. The platform,0.0,0.3,1.0,0.2,R,9/10
10,STAGE,Scene V. A more remote part of the Castle,0.0,0.3,1.0,0.2,R,9/10
11,STAGE,ACT II,0.0,0.3,1.0,0.2,R,9/10
12,STAGE,Scene I. A room in Polonius’s house,0.0,0.3,1.0,0.2,R,9/10
13,STAGE,Scene II. A room in the Castle,0.0,0.3,1.0,0.2,R,9/10
14,STAGE,ACT III,0.0,0.3,1.0,0.2,R,9/10
15,STAGE,Scene I. A room in the Castle,0.0,0.3,1.0,0.2,R,9/10
16,STAGE,Scene II. A hall in the Castle,0.0,0.3,1.0,0.2,R,9/10
17,STAGE,Scene III. A room in the Castle,0.0,0.3,1.0,0.2,R,9/10
18,STAGE,Scene IV. Another room in the Castle,0.0,0.3,1.0,0.2,R,9/10
19,STAGE,ACT IV,0.0,0.3,1.0,0.2,R,9/10
20,STAGE,Scene I. A room in the Castle,0.0,0.3,0.99,0.2,R,9/10
21,STAGE,Scene II. Another room in the Castle,0.0,0.3,0.99,0.2,R,9/10
22,STAGE,Scene III. Another room in the Castle,0.0,0.3,0.99,0.2,R,9/10
23,STAGE,Scene IV. A plain in Denmark,0.0,0.3,0.99,0.2,R,9/10
24,STAGE,Scene V. Elsinore. A room in the Castle,0.0,0.3,0.99,0.2,R,9/10
25,STAGE,Scene VI. Another room in the Castle,0.01,0.3,0.99,0.2,R,9/10
26,STAGE,Scene VII. Another room in the Castle,0.01,0.3,0.99,0.2,R,9/10
27,STAGE,ACT V,0.01,0.3,0.99,0.2,R,9/10
28,STAGE,Scene I. A churchyard,0.01,0.3,0.99,0.2,R,9/10
29,STAGE,Scene II. A hall in the Castle,0.01,0.3,0.99,0.2,R,9/10
30,STAGE,Dramatis Personæ,0.01,0.3,0.99,0.2,R,9/10
31,STAGE,"HAMLET, Prince of Denmark",0.01,0.3,0.99,0.2,R,9/10
32,STAGE,"CLAUDIUS, King of Denmark, Hamlet’s uncle",0.01,0.3,0.99,0.2,R,9/10
33,STAGE,"The GHOST of the late king, Hamlet’s father",0.01,0.3,0.99,0.2,R,9/10
34,STAGE,"GERTRUDE, the Queen, Hamlet’s mother, now wife of Claudius",0.01,0.3,0.99,0.2,R,9/10
35,STAGE,"POLONIUS, Lord Chamberlain",0.01,0.3,0.99,0.2,R,9/10
36,STAGE,"LAERTES, Son to Polonius",0.01,0.3,0.99,0.2,R,9/10
37,STAGE,"OPHELIA, Daughter to Polonius",0.01,0.3,0.99,0.2,R,9/10
38,STAGE,"HORATIO, Friend to Hamlet",0.01,0.3,0.99,0.2,R,9/10
39,STAGE,"FORTINBRAS, Prince of Norway",0.01,0.3,0.99,0.2,R,9/10
40,STAGE,"VOLTEMAND, Courtier",0.01,0.3,0.99,0.2,R,9/10
