BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,*** START OF THE PROJECT GUTENBERG EBOOK 1533 ***,0.0,0.3,1.0,0.7,R,9/10
2,STAGE,MACBETH,0.0,0.3,1.0,0.2,R,9/10
3,STAGE,by William Shakespeare,0.0,0.3,1.0,0.2,R,9/10
4,STAGE,Contents,0.0,0.3,1.0,0.2,R,9/10
5,STAGE,ACT I,0.0,0.3,1.0,0.2,R,9/10
6,STAGE,Scene I. An open Place.,0.0,0.3,1.0,0.2,R,9/10
7,STAGE,Scene II. A Camp near Forres.,0.0,0.3,1.0,0.2,R,9/10
8,STAGE,Scene III. A heath.,0.0,0.3,1.0,0.2,R,9/10
9,STAGE,Scene IV. Forres. A Room in the Palace.,0.0,0.3,1.0,0.2,R,9/10
10,STAGE,Scene V. Inverness. A Room in Macbeth’s Castle.,0.0,0.3,1.0,0.2,R,9/10
11,STAGE,Scene VI. The same. Before the Castle.,0.0,0.3,1.0,0.2,R,9/10
12,STAGE,Scene VII. The same. A Lobby in the Castle.,0.0,0.3,1.0,0.2,R,9/10
13,STAGE,ACT II,0.0,0.3,0.99,0.2,R,9/10
14,STAGE,Scene I. Inverness. Court within the Castle.,0.0,0.3,0.99,0.2,R,9/10
15,STAGE,Scene II. The same.,0.0,0.3,0.99,0.2,R,9/10
16,STAGE,Scene III. The same.,0.01,0.3,0.99,0.2,R,9/10
17,STAGE,Scene IV. The same. Without the Castle.,0.01,0.3,0.99,0.2,R,9/10
18,STAGE,ACT III,0.01,0.3,0.99,0.2,R,9/10
19,STAGE,Scene I. Forres. A Room in the Palace.,0.01,0.3,0.99,0.2,R,9/10
20,STAGE,Scene II. The same. Another Room in the Palace.,0.01,0.3,0.99,0.2,R,9/10
21,STAGE,"Scene III. The same. A Park or Lawn, with a gate leading to the Palace.",0.01,0.3,0.99,0.2,R,9/10
22,STAGE,Scene IV. The same. A Room of state in the Palace.,0.01,0.3,0.99,0.2,R,9/10
23,STAGE,Scene V. The heath.,0.01,0.3,0.99,0.2,R,9/10
24,STAGE,Scene VI. Forres. A Room in the Palace.,0.01,0.3,0.99,0.2,R,9/10
25,STAGE,ACT IV,0.01,0.3,0.99,0.2,R,9/10
26,STAGE,"Scene I. A dark Cave. In the middle, a Cauldron Boiling.",0.01,0.3,0.99,0.2,R,9/10
