BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
1,STAGE,"﻿The Project Gutenberg eBook of The Oedipus Trilogy, by Sophocles",0.0,0.3,1.0,0.7,R,9/10
2,STAGE,This eBook is for the use of anyone anywhere in the United States and,0.0,0.3,1.0,0.2,R,9/10
3,STAGE,most other parts of the world at no cost and with almost no restrictions,0.0,0.3,1.0,0.2,R,9/10
4,STAGE,"whatsoever. You may copy it, give it away or re-use it under the terms",0.0,0.3,1.0,0.2,R,9/10
5,STAGE,of the Project Gutenberg License included with this eBook or online at,0.0,0.3,1.0,0.2,R,9/10
6,STAGE,"www.gutenberg.org. If you are not located in the United States, you",0.0,0.3,1.0,0.2,R,9/10
7,STAGE,will have to check the laws of the country where you are located before,0.0,0.3,1.0,0.2,R,9/10
8,STAGE,using this eBook.,0.0,0.3,1.0,0.2,R,9/10
9,STAGE,Title: The Oedipus Trilogy,0.0,0.3,1.0,0.2,R,9/10
10,STAGE,Author: Sophocles,0.0,0.3,1.0,0.2,R,9/10
11,STAGE,Translator: F. Storr,0.0,0.3,1.0,0.2,R,9/10
12,STAGE,"Release Date: October 21, 2000 [eBook #31]",0.0,0.3,1.0,0.2,R,9/10
13,STAGE,Language: English,0.0,0.3,1.0,0.2,R,9/10
14,STAGE,Character set encoding: UTF-8,0.0,0.3,1.0,0.2,R,9/10
15,STAGE,Produced by: An Anonymous Volunteer and David Widger,0.0,0.3,1.0,0.2,R,9/10
16,STAGE,*** START OF THE PROJECT GUTENBERG EBOOK THE OEDIPUS TRILOGY ***,0.0,0.3,1.0,0.2,R,9/10
17,STAGE,The Oedipus Trilogy,0.0,0.3,1.0,0.2,R,9/10
18,STAGE,by Sophocles,0.0,0.3,1.0,0.2,R,9/10
19,STAGE,Contents,0.0,0.3,1.0,0.2,R,9/10
20,STAGE,OEDIPUS THE KING,0.0,0.3,1.0,0.2,R,9/10
21,STAGE,OEDIPUS AT COLONUS,0.0,0.3,1.0,0.2,R,9/10
22,STAGE,ANTIGONE,0.0,0.3,1.0,0.2,R,9/10
23,STAGE,OEDIPUS THE KING,0.0,0.3,1.0,0.2,R,9/10
24,STAGE,"Translation by F. Storr, BA",0.0,0.3,1.0,0.2,R,9/10
25,STAGE,"Formerly Scholar of Trinity College, Cambridge",0.0,0.3,1.0,0.2,R,9/10
26,STAGE,From the Loeb Library Edition,0.0,0.3,0.99,0.2,R,9/10
27,STAGE,Originally published by,0.0,0.3,0.99,0.2,R,9/10
28,STAGE,"Harvard University Press, Cambridge, MA",0.0,0.3,0.99,0.2,R,9/10
29,STAGE,and,0.0,0.3,0.99,0.2,R,9/10
30,STAGE,"William Heinemann Ltd, London",0.0,0.3,0.99,0.2,R,9/10
31,STAGE,First published in 1912,0.0,0.3,0.99,0.2,R,9/10
32,STAGE,ARGUMENT,0.01,0.3,0.99,0.2,R,9/10
33,STAGE,"To Laius, King of Thebes, an oracle foretold that the child born to him",0.01,0.3,0.99,0.2,R,9/10
34,STAGE,by his queen Jocasta would slay his father and wed his mother. So when,0.01,0.3,0.99,0.2,R,9/10
35,STAGE,in time a son was born the infant’s feet were riveted together and he,0.01,0.3,0.99,0.2,R,9/10
36,STAGE,was left to die on Mount Cithaeron. But a shepherd found the babe and,0.01,0.3,0.99,0.2,R,9/10
37,STAGE,"tended him, and delivered him to another shepherd who took him to his",0.01,0.3,0.99,0.2,R,9/10
38,STAGE,"master, the King of Corinth. Polybus being childless adopted the boy,",0.01,0.3,0.99,0.2,R,9/10
39,STAGE,who grew up believing that he was indeed the King’s son. Afterwards,0.01,0.3,0.99,0.2,R,9/10
40,STAGE,doubting his parentage he inquired of the Delphic god and heard himself,0.01,0.3,0.99,0.2,R,9/10
41,STAGE,the word declared before to Laius. Wherefore he fled from what he,0.01,0.3,0.99,0.2,R,9/10
42,STAGE,deemed his father’s house and in his flight he encountered and,0.01,0.3,0.99,0.2,R,9/10
43,STAGE,unwillingly slew his father Laius. Arriving at Thebes he answered the,0.01,0.3,0.99,0.2,R,9/10
44,STAGE,riddle of the Sphinx and the grateful Thebans made their deliverer,0.11,0.3,0.99,0.2,R,8/10
45,STAGE,"king. So he reigned in the room of Laius, and espoused the widowed",0.01,0.3,0.99,0.2,R,9/10
46,STAGE,"queen. Children were born to them and Thebes prospered under his rule,",0.01,0.3,0.99,0.2,R,9/10
47,STAGE,but again a grievous plague fell upon the city. Again the oracle was,0.01,0.3,0.99,0.2,R,9/10
48,STAGE,consulted and it bade them purge themselves of blood-guiltiness.,0.11,0.3,0.99,0.2,R,8/10
49,STAGE,"Oedipus denounces the crime of which he is unaware, and undertakes to",0.01,0.3,0.99,0.2,R,9/10
50,STAGE,track out the criminal. Step by step it is brought home to him that he,0.01,0.3,0.99,0.2,R,9/10
51,STAGE,is the man. The closing scene reveals Jocasta slain by her own hand and,0.01,0.3,0.99,0.2,R,9/10
52,STAGE,Oedipus blinded by his own act and praying for death or exile.,0.11,0.3,0.99,0.2,R,8/10
53,STAGE,DRAMATIS PERSONAE,0.01,0.3,0.99,0.2,R,9/10
54,STAGE,Oedipus.,0.01,0.3,0.99,0.2,R,9/10
55,STAGE,The Priest of Zeus.,0.01,0.3,0.99,0.2,R,9/10
56,STAGE,Creon.,0.01,0.3,0.99,0.2,R,9/10
57,STAGE,Chorus of Theban Elders.,0.01,0.3,0.99,0.2,R,9/10
58,STAGE,Teiresias.,0.01,0.3,0.99,0.2,R,9/10
59,STAGE,Jocasta.,0.01,0.3,0.99,0.2,R,9/10
60,STAGE,Messenger.,0.01,0.3,0.99,0.2,R,9/10
61,STAGE,Herd of Laius.,0.01,0.3,0.99,0.2,R,9/10
62,STAGE,Second Messenger.,0.01,0.3,0.99,0.2,R,9/10
63,STAGE,Scene: Thebes. Before the Palace of Oedipus.,0.01,0.3,0.99,0.2,R,9/10
64,STAGE,OEDIPUS THE KING,0.01,0.3,0.99,0.2,R,9/10
65,STAGE,"Suppliants of all ages are seated round the altar at the palace doors,",0.01,0.3,0.99,0.2,R,9/10
66,STAGE,at their head a PRIEST OF ZEUS. To them enter OEDIPUS.,0.01,0.3,0.99,0.2,R,9/10
67,OEDIPUS,"My children, latest born to Cadmus old,",0.01,0.3,0.99,0.7,R,9/10
68,OEDIPUS,"Why sit ye here as suppliants, in your hands",0.01,0.3,0.99,0.2,R,9/10
69,OEDIPUS,Branches of olive filleted with wool?,0.01,0.5,0.99,0.2,R,9/10
70,OEDIPUS,"What means this reek of incense everywhere,",0.01,0.3,0.99,0.2,R,9/10
71,OEDIPUS,And everywhere laments and litanies?,0.01,0.5,0.99,0.2,R,9/10
72,OEDIPUS,"Children, it were not meet that I should learn",0.01,0.3,0.99,0.2,R,9/10
73,OEDIPUS,"From others, and am hither come, myself,",0.01,0.3,0.99,0.2,R,9/10
74,OEDIPUS,"I Oedipus, your world-renowned king.",0.01,0.3,0.99,0.2,R,9/10
75,OEDIPUS,"Ho! aged sire, whose venerable locks",0.01,0.45,0.99,0.2,R,9/10
76,OEDIPUS,"Proclaim thee spokesman of this company,",0.01,0.3,0.99,0.2,R,9/10
77,OEDIPUS,Explain your mood and purport. Is it dread,0.01,0.3,0.98,0.2,R,9/10
78,OEDIPUS,Of ill that moves you or a boon ye crave?,0.01,0.5,0.98,0.2,R,9/10
79,OEDIPUS,My zeal in your behalf ye cannot doubt;,0.01,0.3,0.98,0.2,R,9/10
80,OEDIPUS,Ruthless indeed were I and obdurate,0.01,0.3,0.98,0.2,R,9/10
81,OEDIPUS,If such petitioners as you I spurned.,0.01,0.3,0.98,0.2,R,9/10
82,PRIEST,"Yea, Oedipus, my sovereign lord and king,",0.01,0.3,0.98,0.7,R,9/10
83,PRIEST,Thou seest how both extremes of age besiege,0.01,0.3,0.98,0.2,R,9/10
84,PRIEST,"Thy palace altars—fledglings hardly winged,",0.01,0.3,0.98,0.2,R,9/10
85,PRIEST,"and greybeards bowed with years; priests, as am I",0.01,0.3,0.98,0.2,R,9/10
86,PRIEST,"of Zeus, and these the flower of our youth.",0.01,0.3,0.98,0.2,R,9/10
87,PRIEST,"Meanwhile, the common folk, with wreathed boughs",0.01,0.3,0.98,0.2,R,9/10
88,PRIEST,"Crowd our two market-places, or before",0.01,0.3,0.98,0.2,R,9/10
89,PRIEST,"Both shrines of Pallas congregate, or where",0.01,0.3,0.98,0.2,R,9/10
90,PRIEST,Ismenus gives his oracles by fire.,0.01,0.3,0.98,0.2,R,9/10
91,PRIEST,"For, as thou seest thyself, our ship of State,",0.01,0.3,0.98,0.2,R,9/10
92,PRIEST,"Sore buffeted, can no more lift her head,",0.01,0.3,0.98,0.2,R,9/10
93,PRIEST,Foundered beneath a weltering surge of blood.,0.11,0.3,0.98,0.2,R,8/10
94,PRIEST,"A blight is on our harvest in the ear,",0.01,0.3,0.98,0.2,R,9/10
95,PRIEST,"A blight upon the grazing flocks and herds,",0.01,0.3,0.98,0.2,R,9/10
96,PRIEST,A blight on wives in travail; and withal,0.02,0.3,0.98,0.2,R,9/10
97,PRIEST,Armed with his blazing torch the God of Plague,0.02,0.3,0.98,0.2,R,9/10
98,PRIEST,Hath swooped upon our city emptying,0.02,0.3,0.98,0.2,R,9/10
99,PRIEST,"The house of Cadmus, and the murky realm",0.02,0.3,0.98,0.2,R,9/10
100,PRIEST,Of Pluto is full fed with groans and tears.,0.02,0.3,0.98,0.2,R,9/10
101,PRIEST,"Therefore, O King, here at thy hearth we sit,",0.02,0.3,0.98,0.2,R,9/10
102,PRIEST,I and these children; not as deeming thee,0.02,0.3,0.98,0.2,R,9/10
103,PRIEST,"A new divinity, but the first of men;",0.02,0.3,0.98,0.2,R,9/10
104,PRIEST,"First in the common accidents of life,",0.02,0.3,0.98,0.2,R,9/10
105,PRIEST,And first in visitations of the Gods.,0.02,0.3,0.98,0.2,R,9/10
106,PRIEST,Art thou not he who coming to the town,0.02,0.3,0.98,0.2,R,9/10
107,PRIEST,of Cadmus freed us from the tax we paid,0.02,0.3,0.98,0.2,R,9/10
108,PRIEST,To the fell songstress? Nor hadst thou received,0.02,0.5,0.98,0.2,R,9/10
109,PRIEST,Prompting from us or been by others schooled;,0.02,0.3,0.98,0.2,R,9/10
110,PRIEST,"No, by a god inspired (so all men deem,",0.02,0.3,0.98,0.2,R,9/10
111,PRIEST,And testify) didst thou renew our life.,0.02,0.3,0.98,0.2,R,9/10
