SOURCE_FILE,WORK,FRAME,TRAUMA,ENTROPY
literary_data.ts,Hamlet,Battlements Watch,0.1,0.2
literary_data.ts,Hamlet,Horatio Arrives,0.1,0.3
literary_data.ts,Hamlet,Ghost Appears,0.4,0.4
literary_data.ts,Hamlet,Ghost Stalks Away,0.5,0.5
literary_data.ts,Hamlet,Claudius Court,0.2,0.1
literary_data.ts,Hamlet,Too Much Sun,0.3,0.6
literary_data.ts,Hamlet,Solid Flesh,0.7,0.5
literary_data.ts,Hamlet,Frailty,0.6,0.7
literary_data.ts,Hamlet,Horatio\,0.3,0.4
literary_data.ts,Hamlet,Hamlet Watch,0.4,0.4
literary_data.ts,Hamlet,Ghost Re-enters,0.8,0.6
literary_data.ts,Hamlet,Ghost Beckons,0.6,0.8
literary_data.ts,Hamlet,I am thy Father,0.7,0.3
literary_data.ts,Hamlet,Murder Most Foul,0.9,0.4
literary_data.ts,Hamlet,Remember Me,0.6,0.6
literary_data.ts,Hamlet,Swear,0.5,0.8
literary_data.ts,Hamlet,Ophelia\,0.4,0.6
literary_data.ts,Hamlet,Polonius Theory,0.2,0.3
literary_data.ts,Hamlet,Fishmonger,0.3,0.7
literary_data.ts,Hamlet,Prison,0.5,0.5
literary_data.ts,Hamlet,Quintessence of Dust,0.6,0.8
literary_data.ts,Hamlet,Players Arrive,0.3,0.4
literary_data.ts,Hamlet,Hecuba,0.5,0.6
literary_data.ts,Hamlet,The Trap Plan,0.4,0.3
literary_data.ts,Hamlet,To Be or Not To Be,0.7,0.9
literary_data.ts,Hamlet,Nunnery Scene,0.8,0.7
literary_data.ts,Hamlet,Kings Conscience,0.5,0.5
literary_data.ts,Hamlet,The Mousetrap,0.7,0.6
literary_data.ts,Hamlet,The King Rises,0.9,0.8
literary_data.ts,Hamlet,Prayer Scene,0.6,0.5
literary_data.ts,Hamlet,Closet Scene Begins,0.7,0.6
literary_data.ts,Hamlet,Rat in the Arras,0.8,0.7
literary_data.ts,Hamlet,Two Pictures,0.6,0.5
literary_data.ts,Hamlet,Ghost Intervenes,0.8,0.6
literary_data.ts,Hamlet,Body in Scene,0.6,0.8
literary_data.ts,Hamlet,Exile to England,0.5,0.5
literary_data.ts,Hamlet,Ophelia\,0.8,0.9
literary_data.ts,Hamlet,Laertes Returns,0.7,0.4
literary_data.ts,Hamlet,Ophelia\,0.9,0.3
literary_data.ts,Hamlet,Gravediggers,0.4,0.6
literary_data.ts,Hamlet,Yorick,0.7,0.5
literary_data.ts,Hamlet,Funeral Fight,0.8,0.8
literary_data.ts,Hamlet,Osric,0.3,0.7
