FR Category,Requirement ID,Requirement Name,Requirement Description,Compliance Status (Met/Not Met/Unsure),Evidence from TVCS SAT Document,TVCS Implementation Status
FR1 - Identification and Authentication Control,SR 1.1,Human user identification and authentication,The control system shall provide the capability to identify and authenticate all human users,Met,"Account lockout testing (NET-2A-TC204), password strength testing (NET-2A-TC207, NET-2A-TC208), warning banner (NET-2A-TC205)",Complete
FR1 - Identification and Authentication Control,SR 1.1 RE(1),Unique identification and authentication,Unique identification and authentication of all human users,Unsure,Document shows account testing but does not explicitly confirm unique user identification for all users,Partial
FR1 - Identification and Authentication Control,SR 1.1 RE(2),Multifactor authentication for untrusted networks,Multifactor authentication for human user access from untrusted networks,Not Met,No evidence of MFA implementation or testing in SAT specification,Not Met
FR1 - Identification and Authentication Control,SR 1.2,Software process and device identification and authentication,The control system shall provide the capability to identify and authenticate all software processes and devices,Unsure,NTP authentication mentioned (NET-2A-TC301) but broader device authentication not explicitly detailed,Partial
FR1 - Identification and Authentication Control,SR 1.2 RE(1),Unique identification and authentication,Unique identification and authentication of software processes and devices,Unsure,Service accounts identified but unique device authentication not fully documented,Partial
FR1 - Identification and Authentication Control,SR 1.2 RE(2),Multifactor authentication for untrusted networks,Multifactor authentication for software processes and devices from untrusted networks,Not Met,No evidence of device-level MFA,Not Met
FR1 - Identification and Authentication Control,SR 1.3,Account management,The control system shall provide the capability to support the management of all accounts,Met,"Break glass account management (NET-2A-TC204), service account management (NET-2A-TC207, NET-2A-TC208), Pleasant Password Server mentioned",Complete
FR1 - Identification and Authentication Control,SR 1.4,Identifier management,The control system shall provide the capability to support the management of identifiers by various privileged users,Met,Account management system in place with Pleasant Password Server,Complete
FR1 - Identification and Authentication Control,SR 1.5,Authenticator management,The control system shall provide the capability to support the management of authenticators,Met,"Password strength testing (120 bits minimum, NET-2A-TC207, NET-2A-TC208)",Complete
FR1 - Identification and Authentication Control,SR 1.5 RE(1),Hardware security for authenticators,Protection of authenticators using hardware security mechanisms,Not Met,"No evidence of hardware-based authenticator protection (e.g., TPM, HSM)",Not Met
FR1 - Identification and Authentication Control,SR 1.6,Wireless access management,The control system shall provide the capability to authorize and restrict wireless access,Unsure,Firewall policies configured but wireless-specific access controls not detailed,Partial
FR1 - Identification and Authentication Control,SR 1.7,Strength of password-based authentication,The control system shall provide the capability to enforce configurable password strength,Met,"Password strength 120 bits enforced (NET-2A-TC207, NET-2A-TC208)",Complete
FR1 - Identification and Authentication Control,SR 1.7 RE(1),Password generation and lifetime restrictions,Password generation and lifetime restrictions for human users,Unsure,Password strength tested but lifetime/expiration policies not documented,Partial
FR1 - Identification and Authentication Control,SR 1.8,Public key infrastructure (PKI) certificates,The control system shall provide the capability to use and validate PKI certificates,Unsure,Not explicitly mentioned in test specifications,Partial
FR1 - Identification and Authentication Control,SR 1.8 RE(1),Certificate validation and revocation checking,Validate certificates and perform revocation checking,Not Met,No evidence of PKI certificate validation or CRL/OCSP checking,Not Met
FR1 - Identification and Authentication Control,SR 1.9,Strength of public key authentication,The control system shall provide the capability to validate public key-based authentication mechanisms,Unsure,Not explicitly mentioned in test specifications,Partial
FR1 - Identification and Authentication Control,SR 1.9 RE(1),Hardware security for public key authentication,Hardware-based protection for public key authentication,Not Met,No evidence of hardware-based public key protection,Not Met
FR1 - Identification and Authentication Control,SR 1.10,Authenticator feedback,The control system shall provide the capability to obscure feedback of authentication information,Met,Standard Windows/network device login expected (password masking assumed),Complete
FR1 - Identification and Authentication Control,SR 1.11,Unsuccessful login attempts,The control system shall provide the capability to enforce a limit on unsuccessful authentication attempts,Met,Account lockout after 7 failed attempts (NET-2A-TC204),Complete
FR1 - Identification and Authentication Control,SR 1.12,System use notification,The control system shall provide the capability to display a system use notification message,Met,"Warning banner tested for all devices (NET-2A-TC205): Hyper-V, DC, HMI, switches, firewall",Complete
FR1 - Identification and Authentication Control,SR 1.13,Access via untrusted networks,The control system shall provide the capability to protect confidentiality of credentials over untrusted networks,Unsure,Firewall segmentation in place but credential protection over untrusted networks not explicitly documented,Partial
