FR Category,Requirement ID,Requirement Name,Requirement Description,Compliance Status (Met/Not Met/Unsure),Evidence from TVCS SAT Document,TVCS Implementation Status
FR3 - System Integrity,SR 3.1,Communication integrity,The control system shall provide the capability to protect the integrity of transmitted information,Unsure,"Firewall segmentation in place but integrity protection mechanisms (e.g., digital signatures) not documented",Partial
FR3 - System Integrity,SR 3.1 RE(1),Cryptographic protection of integrity,Use cryptographic mechanisms to protect message integrity,Not Met,"No evidence of cryptographic message integrity protection (e.g., HMAC, IPsec)",Not Met
FR3 - System Integrity,SR 3.2,Malicious code protection,"The control system shall provide the capability to detect, report and protect against malicious code",Met,"Antivirus scanning tested on VMs (NET-2A-TC203), Veeam backup agents deployed",Complete
FR3 - System Integrity,SR 3.2 RE(1),Malicious code protection at entry/exit points,Detect and report malicious code at all entry and exit points,Unsure,"AV on VMs but entry/exit point protection (e.g., firewall-based AV) not documented",Partial
FR3 - System Integrity,SR 3.2 RE(2),Central management for malicious code protection,Centrally manage malicious code protection mechanisms,Unsure,AV present but centralized management not explicitly documented,Partial
FR3 - System Integrity,SR 3.3,Security functionality verification,The control system shall provide the capability to perform security functionality verification,Unsure,Testing covers operational verification but automated security function verification not documented,Partial
FR3 - System Integrity,SR 3.3 RE(1),Automated security functionality verification,Automated notification of failed security verification tests,Unsure,LibreNMS monitoring in place but automated security verification not explicitly documented,Partial
FR3 - System Integrity,SR 3.3 RE(2),Security functionality verification during normal operation,Perform security functionality verification during normal operation,Not Met,No evidence of continuous security function verification during operations,Not Met
FR3 - System Integrity,SR 3.4,Software and information integrity,The control system shall provide the capability to detect and protect against unauthorized changes to software and information,Unsure,Backup integrity testing (NET-2A-TC206) but software integrity monitoring not explicitly documented,Partial
FR3 - System Integrity,SR 3.4 RE(1),Automated notification of integrity violations,Automated notification of integrity violations,Met,LibreNMS alerts configured for backup failures and system events,Complete
FR3 - System Integrity,SR 3.4 RE(2),Automated response to integrity violations,Automated response to integrity violations,Unsure,Alerting present but automated response actions not documented,Partial
FR3 - System Integrity,SR 3.5,Input validation,The control system shall provide the capability to validate inputs,Unsure,Not explicitly addressed in test specification,Partial
FR3 - System Integrity,SR 3.6,Deterministic output,The control system shall provide the capability to fail to a predetermined state in the event of an operational failure,Met,Fail-safe testing with firewall and switch failures showing graceful degradation (NET-2A-TC201A/B),Complete
FR3 - System Integrity,SR 3.7,Error handling,The control system shall provide the capability to handle errors in a manner such that the system remains in a secure state,Met,System recovery and reconstitution tested (NET-2A-TC201A/B/C),Complete
FR3 - System Integrity,SR 3.8,Session integrity,The control system shall provide the capability to protect the integrity of communications sessions,Unsure,Not explicitly addressed in test specification,Partial
FR3 - System Integrity,SR 3.8 RE(1),Invalidate session IDs at logout,Invalidate session identifiers upon session termination,Unsure,Not explicitly addressed in test specification,Partial
FR3 - System Integrity,SR 3.8 RE(2),Randomize session IDs,Generate unique session identifiers with definable entropy,Not Met,No evidence of session ID randomization mechanisms,Not Met
FR3 - System Integrity,SR 3.9,Protection of audit information,The control system shall provide the capability to protect audit information and audit tools from unauthorized access,Unsure,LibreNMS stores audit data but protection mechanisms not detailed,Partial
FR3 - System Integrity,SR 3.9 RE(1),Hardware-based protection for audit information,Hardware write-once capability or write-protected media for audit records,Not Met,No evidence of write-once or write-protected media for audit logs,Not Met
FR3 - System Integrity,SR 3.10,Support for updates,The control system shall provide the capability to support system updates,Met,"Firmware upgrade testing planned (NET-2A-TC201A, NET-2A-TC201B)",Complete
FR3 - System Integrity,SR 3.10 RE(1),Update authenticity and integrity,Verify authenticity and integrity of updates,Unsure,Update process tested but authenticity/integrity verification not documented,Partial
FR3 - System Integrity,SR 3.11,Physical tamper resistance and detection,The control system shall provide the capability to detect and protect against physical tampering,Not Met,No evidence of physical tampering detection mechanisms,Not Met
FR3 - System Integrity,SR 3.12,Provisioning product supplier roots of trust,The control system shall provide the capability to provision product supplier roots of trust,Not Met,No evidence of vendor root of trust provisioning,Not Met
FR3 - System Integrity,SR 3.13,Provisioning asset owner roots of trust,The control system shall provide the capability to provision asset owner roots of trust,Not Met,No evidence of asset owner root of trust provisioning,Not Met
FR3 - System Integrity,SR 3.14,Integrity of the boot process,The control system shall provide the capability to verify the integrity of the boot process,Not Met,No evidence of secure boot or boot integrity verification,Not Met
