FR Category,Requirement ID,Requirement Name,Requirement Description,Compliance Status (Met/Not Met/Unsure),Evidence from TVCS SAT Document,TVCS Implementation Status
FR7 - Resource Availability,SR 7.1,Denial of service protection,The control system shall provide the capability to protect against or limit the effects of denial of service attacks,Met,"Firewall in place, resource monitoring under load tested (NET-2A-TC202, NET-2A-TC203)",Complete
FR7 - Resource Availability,SR 7.1 RE(1),Manage communication load,Manage communication loads to limit effects of denial of service attacks,Unsure,Resource utilization monitored but load management mechanisms not documented,Partial
FR7 - Resource Availability,SR 7.2,Resource management,"The control system shall provide the capability to allocate resources by priority, quota, reservation and/or partitioning",Met,"Resource monitoring tested under load (CPU, memory, bandwidth - NET-2A-TC202, NET-2A-TC203)",Complete
FR7 - Resource Availability,SR 7.3,Control system backup,The control system shall provide the capability to perform backups,Met,Veeam backup system with agents on HMI clients and VMs (NET-2A-TC206),Complete
FR7 - Resource Availability,SR 7.3 RE(1),Backup integrity verification,Verify integrity of backup information,Met,Backup failure detection and alerting tested (NET-2A-TC206),Complete
FR7 - Resource Availability,SR 7.3 RE(2),Backup automation,Automate backup process,Met,Scheduled Veeam backup jobs with automated alerting on failure,Complete
FR7 - Resource Availability,SR 7.4,Control system recovery and reconstitution,The control system shall provide the capability to recover and reconstitute to a known secure state,Met,"Failure and recovery testing for firewalls, switches (NET-2A-TC201A/B/C)",Complete
FR7 - Resource Availability,SR 7.5,Emergency power,The control system shall provide the capability to transition to and from emergency power,Met,Dual power supplies tested on firewalls and switches (NET-2A-TC201A/B),Complete
FR7 - Resource Availability,SR 7.6,Network and security configuration settings,The control system shall provide the capability to display and manage network and security configuration settings,Met,"LibreNMS displays network configuration, firewall and switch configs managed",Complete
FR7 - Resource Availability,SR 7.6 RE(1),Machine-readable reporting of current security settings,Provide machine-readable reporting of current security settings,Met,"LibreNMS provides machine-readable monitoring data, SNMP integration",Complete
FR7 - Resource Availability,SR 7.7,Least functionality,"The control system shall provide the capability to restrict the use of unnecessary functions, ports, protocols and/or services",Met,"HMI operator restrictions via GPO (NET-2A-TC209): no Task Manager, cmd, PowerShell, Registry Editor, Control Panel",Complete
FR7 - Resource Availability,SR 7.8,Control system component inventory,The control system shall provide the capability to maintain an inventory of system components,Unsure,Device list maintained for testing but automated inventory system not documented,Partial
